sigma_noise,sigma_gp,lambda,beta0,ell0,beta1,ell1,beta2,ell2
62.638828605960505,127.3377916774072,0.6326347998656885,1.1740197310050966e-07,5.6369101319718276,-3.0594770087198503e-07,4.350333001279761,-5.699293638481436e-07,4.720238833168043
61.39476688180908,115.79608679765147,1.3824241896539446,-9.611975267479812e-08,3.460165043744693,4.842899479547387e-07,8.980021969836654,6.331930723520109e-07,3.9869138640354524
55.173890268040296,155.38184590966992,1.1913410829890854,3.568624574081287e-07,5.454055817447778,-6.899064941876685e-07,7.631793471507781,-5.408761252796139e-07,45.629212538874604
58.28826430405162,158.37136967022275,1.6180017980346981,-5.322882203836519e-07,4.925800437245717,9.622886006390505e-08,18.32110638379819,1.9714412664137498e-07,53.62232050256099
58.134787308500705,147.3936218674067,1.5593495837496971,-3.345767310178609e-08,5.366259801685731,3.6763380908464767e-07,16.76127881652714,-2.0693062991230292e-07,40.24667289890265
56.291615405846876,161.791258023212,1.2942120468481915,2.2145838941476086e-07,5.614324459515322,3.6076327242689107e-07,11.829172188372095,-1.1675033903949082e-07,29.41039276676926
61.49601028332164,111.97807149183737,1.0090030958337,-1.8051032011284545e-07,4.71283487338707,-2.595971957292964e-07,2.6227051595879174,-2.308221651333407e-07,6.246356266095763
57.67426620451041,97.73020662722877,1.9425910577439542,1.2435287359885872e-07,3.667112904687293,4.5806064113855983e-07,4.919918230731876,6.396164430756665e-07,30.434248387712522
56.949312278214094,159.82874064256404,1.176120551389028,-8.58419312489557e-08,4.708130708003656,-1.0583006199800422e-06,4.68854365907051,1.452697633186457e-07,20.186577239824608
56.949312278214094,159.82874064256404,1.176120551389028,-8.58419312489557e-08,4.708130708003656,-1.0583006199800422e-06,4.68854365907051,1.452697633186457e-07,20.186577239824608
57.07599689815642,101.18869258531058,1.7419224881226292,-4.002561149167177e-08,7.542318058806034,1.6607951931475907e-06,3.428468037227054,-5.126495627854024e-09,15.823146773752278
53.9387117376345,104.20751112511067,1.5950571947956405,-3.648039883963565e-07,4.222595720013732,3.7219113790288423e-07,2.1424280037745507,4.3538806834350025e-07,11.33882748868597
63.72178100131975,119.57793630512518,1.3693972258218623,4.460777277275294e-07,5.370513689776204,-2.062015931534029e-07,6.969853077724216,-2.741142944722835e-07,11.043435861154125
55.51445737537785,106.8441963915307,1.600884308719459,1.6106620938299872e-07,3.204521096808167,1.122688960681277e-06,4.389766126326079,6.94140941100408e-07,5.231018101194495
58.311296521629345,75.82638869366653,1.603514117749214,7.70259776796869e-07,4.222082171080217,-9.381038438603852e-07,4.091051458412812,-1.2999827149367041e-06,7.270992378496274
56.403251521945876,147.25590171328002,1.2553581812419212,-4.967705454760497e-07,3.543816119121055,9.825418878068484e-07,7.967024795579622,1.2743797132288692e-06,2.829161145965386
63.647406378064,83.8085615030955,1.4655201441647598,-6.674693494021284e-07,3.8600853629515637,1.0093132652447696e-06,3.1698870501021053,-4.930047129347033e-07,14.070300115979798
64.20426908232378,70.68290636974614,1.8200338192907082,1.1299810252726394e-06,4.081630287069711,8.342198202473974e-07,5.841562383309947,9.123954182053296e-07,6.728195084555974
